Name,Time,Depth
Hammerhead ROV,127.469,0.00
Hammerhead ROV,128.476,0.00
Hammerhead ROV,129.477,0.00
Hammerhead ROV,130.478,0.00
Hammerhead ROV,131.479,0.00
Hammerhead ROV,132.481,0.00
Hammerhead ROV,133.481,0.00
Hammerhead ROV,134.482,0.00
Hammerhead ROV,135.484,0.00
Hammerhead ROV,136.484,0.00
Hammerhead ROV,145.676,0.00
Hammerhead ROV,146.682,0.00
Hammerhead ROV,147.684,0.25
Hammerhead ROV,148.684,0.34
Hammerhead ROV,149.686,0.39
Hammerhead ROV,150.687,0.40
Hammerhead ROV,151.688,0.40
Hammerhead ROV,152.689,0.40
Hammerhead ROV,153.691,0.41
Hammerhead ROV,154.692,0.47
